Id_Escucha ,Id_Cliente,Id_Cancion,Fecha y Hora de escucha
353,697,1889,26/6/2023 03:40
354,1416,826,30/6/2023 20:16
355,1449,2393,16/4/2023 05:32
356,834,825,23/3/2023 02:32
357,2697,3909,19/6/2023 22:03
358,,3874,2/2/2023 21:42
359,2920,2978,13/10/2023 06:13
360,812,2065,4/6/2023 19:59
361,1599,,24/2/2023 18:06
362,2931,1770,25/7/2023 08:42
363,2768,3352,21/10/2023 14:20
364,2516,427,
365,641,2274,
366,1055,3916,5/2/2023 08:27
367,1261,563,19/8/2023 16:10
368,2309,1104,
369,247,4434,19/3/2023 14:29
370,2677,3878,12/4/2023 03:22
371,874,3266,5/11/2023 16:35
372,941,2751,13/9/2023 21:30
373,1215,3140,3/12/2023 23:11
374,976,12,9/10/2023 06:39
375,114,2355,7/12/2023 10:16
376,2460,467,18/10/2023 09:41
377,,1475,28/4/2023 23:17
378,204,3248,14/6/2023 05:02
379,1458,,2/7/2023 18:34
380,1383,4514,11/5/2023 12:48
381,2595,2086,1/5/2023 09:59
382,1047,2753,29/7/2023 11:46
383,1181,1651,16/4/2023 20:09
384,2086,1504,12/12/2023 19:07
385,270,2868,4/4/2023 04:22
386,1378,551,25/6/2023 14:22
387,554,1071,
388,2119,4952,29/4/2023 22:15
389,619,345,30/1/2023 10:47
390,1330,4096,13/11/2023 22:04
391,2071,1156,
392,1691,1740,29/12/2023 23:47
393,2477,4380,
394,2555,4799,18/8/2023 13:17
395,597,1218,18/5/2023 23:31
396,2004,4578,8/6/2023 16:15
397,2403,1346,15/6/2023 11:40
398,1794,2590,20/10/2023 06:35
399,587,3051,27/3/2023 08:16
400,1625,863,15/1/2023 04:20
401,87,,19/11/2023 12:33
402,2435,4731,
403,863,2136,
404,1059,2999,14/4/2023 23:48
405,157,4787,30/8/2023 15:59
406,1704,2933,4/7/2023 03:40
407,2188,1831,4/7/2023 07:52
408,752,2694,25/3/2023 20:09
409,1310,11,26/3/2023 03:49
410,,4202,2/3/2023 17:16
411,2975,,19/2/2023 14:36
412,263,4763,
413,520,620,3/7/2023 09:53
414,691,3375,3/7/2023 08:03
415,1294,4464,14/10/2023 18:26
416,2454,944,6/9/2023 17:55
417,133,4753,7/5/2023 07:35
418,760,3795,26/9/2023 12:07
419,215,4647,5/7/2023 19:07
420,60,697,31/7/2023 17:41
421,319,4656,31/12/2023 20:59
422,2518,3619,29/6/2023 20:23
423,286,1787,15/9/2023 12:01
424,2801,3243,14/9/2023 05:33
425,147,1794,5/7/2023 22:00
426,1924,3070,28/7/2023 18:30
427,368,4526,
428,1280,3185,19/8/2023 12:20
429,2662,2189,
430,2994,2444,5/11/2023 01:24
431,2605,352,29/3/2023 05:41
432,292,4121,5/12/2023 15:08
433,962,2881,15/4/2023 01:21
434,802,4775,20/4/2023 20:25
435,545,3341,25/7/2023 01:27
436,1338,4128,26/10/2023 22:29
437,1474,3864,9/2/2023 19:16
,,1866,25/10/2023 01:14
439,1970,3148,26/3/2023 11:59
440,219,2737,6/3/2023 02:01
441,2519,3889,
442,448,,30/5/2023 23:46
443,1426,664,1/12/2023 02:29
444,911,736,1/4/2023 01:56
445,2751,4405,19/7/2023 07:49
446,1813,3336,13/9/2023 07:44
447,1527,1796,12/3/2023 05:31
448,1487,1470,27/9/2023 01:53
449,2462,2226,13/12/2023 03:23
450,1793,2451,25/9/2023 04:12
451,2984,791,5/9/2023 18:15
452,576,4501,15/8/2023 15:10
453,1169,3379,2/5/2023 08:51
,1291,4821,11/9/2023 19:59
455,2936,3066,23/12/2023 09:54
456,,1498,14/3/2023 18:47
457,,540,4/8/2023 01:28
458,2103,4894,13/1/2023 01:12
459,37,1492,6/7/2023 23:34
460,2605,3667,30/8/2023 21:20
461,1593,2662,18/4/2023 21:18
462,93,2584,16/2/2023 12:28
463,2482,4004,8/7/2023 09:52
464,2618,1408,28/6/2023 02:07
465,1534,486,18/6/2023 19:40
466,535,4116,20/3/2023 09:54
467,609,4188,27/2/2023 10:05
,2958,2591,2/5/2023 14:04
469,1058,4514,21/4/2023 20:39
470,27,2206,6/5/2023 02:28
471,,3745,20/11/2023 18:12
472,1710,1211,12/8/2023 03:01
473,1924,,28/4/2023 07:41
474,,469,5/10/2023 00:52
475,2223,4516,21/7/2023 22:34
476,2118,3823,10/8/2023 01:41
477,780,3034,6/4/2023 13:07
478,1422,2054,16/12/2023 04:49
479,927,75,1/11/2023 12:33
480,1087,1016,22/1/2023 10:40
481,1559,3452,18/5/2023 07:15
482,2625,3921,15/8/2023 17:29
483,2837,759,25/8/2023 14:04
484,2762,877,
485,1402,3896,25/4/2023 09:57
486,2873,137,22/10/2023 05:27
487,2061,2637,2/3/2023 01:13
488,1549,,16/4/2023 11:40
489,1440,431,13/11/2023 20:14
490,2513,3271,14/12/2023 05:15
491,1292,484,13/7/2023 12:42
492,602,3204,
493,1932,3683,
494,261,242,22/1/2023 08:48
495,2878,3025,11/2/2023 03:07
496,549,164,3/11/2023 17:16
497,1469,4339,12/12/2023 22:49
498,119,332,20/12/2023 00:46
499,2982,2483,2/6/2023 07:31
500,2397,2527,8/6/2023 19:15
501,1254,1518,8/1/2023 17:10
502,2865,4753,22/12/2023 13:48
503,993,2499,3/9/2023 13:44
504,2131,,25/9/2023 20:56
505,2352,4823,16/10/2023 14:51
506,2163,4939,14/11/2023 19:53
507,2931,4738,20/9/2023 06:07
508,425,856,15/9/2023 02:18
509,2333,1810,30/11/2023 12:58
510,402,2955,24/10/2023 14:55
511,2352,4336,12/9/2023 13:05
512,,1007,18/6/2023 16:29
,2561,,18/11/2023 23:27
514,250,4007,16/9/2023 08:08
515,1173,94,
516,,519,23/8/2023 17:26
517,29,3967,12/2/2023 00:17
518,6,2018,9/1/2023 16:18
519,1417,1745,2/5/2023 01:44
520,,1542,
521,681,391,22/11/2023 19:08
522,2246,4835,31/3/2023 09:08
523,911,3641,15/5/2023 03:06
524,1243,2539,12/7/2023 04:29
525,1529,3962,13/9/2023 00:24
526,1232,2355,17/10/2023 20:32
527,2250,297,19/2/2023 19:06
528,564,4383,7/2/2023 18:28
529,358,1912,3/8/2023 08:05
530,471,1231,9/12/2023 16:42
531,359,4512,
532,113,2690,11/4/2023 21:12
533,2416,4446,
534,393,602,28/8/2023 22:38
535,551,4694,16/12/2023 08:40
536,,3345,18/7/2023 08:34
537,1033,3197,3/4/2023 19:16
538,96,2436,30/8/2023 17:37
539,2710,1020,14/12/2023 02:17
540,2201,3985,20/5/2023 05:45
541,983,1992,
542,2417,3061,2/9/2023 21:51
543,1882,974,12/6/2023 08:13
544,2039,570,5/10/2023 02:51
545,,1895,22/10/2023 01:01
546,,,29/3/2023 07:56
547,2878,4990,4/5/2023 10:48
548,2639,2319,25/8/2023 10:57
549,2131,2531,17/7/2023 00:52
550,2165,869,24/7/2023 18:07
551,669,2444,11/9/2023 16:37
552,,4020,15/12/2023 06:57
553,1587,2274,7/7/2023 08:42
554,2401,4537,22/1/2023 15:49
555,1600,4612,16/9/2023 03:55
556,907,3317,6/7/2023 02:57
557,2138,1357,21/9/2023 08:45
558,1147,2643,3/9/2023 09:32
559,1467,730,11/10/2023 15:32
560,,3174,3/7/2023 10:01
561,1640,2579,12/4/2023 12:13
562,1434,2403,25/7/2023 03:10
563,258,787,29/6/2023 18:52
564,321,4655,5/5/2023 22:00
565,,3498,27/4/2023 07:36
566,364,1039,28/11/2023 20:15
567,381,1777,24/7/2023 16:41
568,1139,171,31/10/2023 21:27
,616,3587,
570,2103,4129,21/5/2023 19:14
571,1423,2128,29/11/2023 04:20
572,2492,4919,18/4/2023 11:55
573,1283,3958,21/4/2023 19:13
574,2909,1738,29/11/2023 06:53
575,672,1981,16/10/2023 06:11
576,1291,891,25/9/2023 14:34
577,120,4847,26/7/2023 19:41
578,,2207,14/12/2023 06:36
579,2445,1782,13/4/2023 22:44
580,,53,18/10/2023 07:13
581,1892,1174,12/11/2023 03:58
582,1410,4494,7/8/2023 08:48
583,115,3813,3/1/2023 21:48
584,2238,1289,26/3/2023 19:52
585,2035,2308,21/8/2023 15:34
586,2808,4081,14/1/2023 18:17
,2272,1815,15/4/2023 15:52
588,,4823,
589,2422,475,16/12/2023 13:40
590,2353,872,10/8/2023 04:39
591,465,458,17/5/2023 11:19
592,59,4063,24/10/2023 04:45
593,1777,4162,
594,7,3165,2/12/2023 09:48
595,453,4002,8/9/2023 07:05
596,,4484,21/9/2023 11:45
597,2808,1764,19/6/2023 12:14
598,1262,3955,14/4/2023 08:23
599,988,1213,27/11/2023 16:49
600,2754,4550,28/4/2023 21:44
601,1592,,27/7/2023 05:53
602,451,928,9/8/2023 22:10
603,2403,2373,28/9/2023 04:25
604,,2320,2/10/2023 20:13
605,2221,4204,27/2/2023 10:00
606,803,2622,
607,2062,668,24/10/2023 00:05
608,1045,773,21/7/2023 12:06
609,1647,4437,14/12/2023 20:25
610,2856,3917,2/7/2023 06:21
611,296,4353,14/11/2023 00:17
612,1571,161,14/7/2023 22:49
613,,3644,11/7/2023 05:55
614,1683,3715,
615,253,3172,
616,431,4314,4/2/2023 08:19
617,,3149,3/6/2023 05:17
618,1752,198,18/6/2023 23:36
619,612,2744,11/8/2023 17:30
620,1438,2822,7/7/2023 22:32
621,1988,1610,25/11/2023 01:35
622,1924,2582,26/9/2023 06:44
623,1216,4295,25/5/2023 15:34
624,2958,4964,11/1/2023 16:05
625,1745,4591,7/4/2023 16:01
626,,358,3/5/2023 19:30
627,348,4575,17/2/2023 18:02
628,100,4073,19/4/2023 09:29
629,2489,1112,4/11/2023 14:40
630,388,3516,3/10/2023 08:51
631,2841,3647,1/8/2023 20:34
632,1715,3372,4/7/2023 22:21
633,832,448,15/4/2023 06:20
634,242,,11/11/2023 22:42
635,328,4980,17/3/2023 00:48
636,1476,4009,3/5/2023 13:09
637,2598,4625,15/8/2023 17:47
638,110,780,10/9/2023 08:58
639,763,,1/3/2023 18:19
640,506,1795,13/1/2023 05:10
641,1452,4839,25/10/2023 08:21
642,578,2603,23/4/2023 02:29
,2711,928,25/2/2023 04:08
644,361,1068,3/12/2023 15:02
645,851,2907,26/6/2023 22:40
646,1186,2198,9/12/2023 06:49
647,2538,3291,19/10/2023 22:16
648,108,2019,29/12/2023 09:55
649,689,57,16/9/2023 14:28
650,577,1048,2/4/2023 15:16
651,1536,4483,28/11/2023 11:31
652,2534,4215,28/2/2023 22:18
653,922,4273,1/7/2023 08:34
654,2036,848,27/6/2023 22:10
655,,4276,21/4/2023 11:49
656,2341,,
657,2709,1008,2/5/2023 13:35
658,2742,224,15/2/2023 13:00
659,1211,1608,26/12/2023 17:50
660,1810,2268,30/12/2023 02:15
661,2931,1281,16/7/2023 04:55
662,1275,259,19/2/2023 13:24
663,618,129,27/3/2023 00:47
664,,4955,18/5/2023 10:26
665,313,2474,2/4/2023 02:16
666,2416,3846,7/5/2023 09:26
667,1757,1940,25/3/2023 11:02
668,,507,7/11/2023 03:10
669,1014,3402,3/4/2023 11:42
670,2237,4448,19/1/2023 10:34
671,1962,672,30/10/2023 21:39
672,2613,207,24/4/2023 11:33
673,2458,1623,3/10/2023 01:57
674,1303,4883,12/2/2023 09:30
675,1305,,
676,1843,2904,8/1/2023 10:17
677,1749,,15/6/2023 09:20
678,571,2547,
679,,163,6/9/2023 21:03
680,275,3753,8/2/2023 22:45
681,954,4019,1/7/2023 09:48
682,,3270,10/11/2023 13:32
683,341,2586,15/10/2023 07:07
684,712,1558,23/5/2023 03:16
685,,1002,30/11/2023 11:57
686,261,3,8/6/2023 04:54
687,2263,2503,8/1/2023 12:34
688,1740,2853,16/4/2023 10:17
689,2481,2727,5/3/2023 11:59
690,109,1244,18/5/2023 00:56
691,1813,2385,1/2/2023 04:41
692,2623,729,16/10/2023 03:32
693,154,359,22/4/2023 06:41
694,2261,2068,25/6/2023 08:56
695,1948,1895,28/10/2023 04:50
696,1959,,9/12/2023 11:40
697,,2702,21/5/2023 07:35
698,,2212,27/12/2023 03:40
699,1680,140,29/10/2023 01:41
700,59,4720,
701,,1019,27/9/2023 22:15
702,,4026,14/2/2023 06:29
703,2043,2899,14/1/2023 17:17
704,1940,3226,12/9/2023 08:58
705,2444,3575,8/2/2023 06:27
706,888,496,
707,1430,95,26/11/2023 21:57
708,298,70,13/5/2023 21:33
709,121,3872,3/3/2023 07:03
710,1632,2459,10/5/2023 01:04
711,2748,2057,7/6/2023 15:35
712,2877,2141,
713,1319,3739,9/8/2023 10:11
714,2841,3914,7/4/2023 07:01
715,2803,4063,
716,1965,2132,1/9/2023 16:05
717,,1149,13/4/2023 06:49
718,310,1918,22/5/2023 08:25
719,806,3587,11/3/2023 10:36
720,409,3453,13/10/2023 00:43
721,2762,3186,30/3/2023 06:54
722,2200,2117,24/9/2023 19:39
723,1374,1537,
724,2679,3659,8/11/2023 13:19
725,1136,1476,25/3/2023 12:14
726,876,3893,3/4/2023 17:29
727,1262,2941,3/9/2023 05:17
728,2376,4267,4/3/2023 16:22
729,,4622,
730,1578,3143,
731,2745,,28/4/2023 00:59
732,995,1974,
733,1133,290,17/7/2023 04:03
734,1618,729,18/12/2023 22:08
735,1845,,30/1/2023 01:30
736,2334,3286,20/12/2023 12:39
737,2239,633,15/12/2023 17:59
738,2474,845,22/9/2023 06:43
739,2613,3075,12/9/2023 20:40
740,979,2580,25/7/2023 07:03
741,517,,30/9/2023 12:24
742,,3769,20/3/2023 04:30
743,2513,844,20/7/2023 08:32
744,696,,25/5/2023 17:29
745,45,209,2/12/2023 16:33
746,780,236,
747,2351,4677,15/6/2023 05:29
748,,3441,18/3/2023 00:48
749,1185,36,2/8/2023 09:30
750,2758,1011,15/8/2023 01:28
751,2320,3682,21/4/2023 10:50
752,1029,4405,11/12/2023 08:19
753,,1797,12/7/2023 05:26
754,201,,3/10/2023 11:23
755,311,1915,13/6/2023 12:35
756,1387,3444,
757,2816,793,26/6/2023 15:22
758,1486,4256,20/3/2023 08:40
759,2875,3880,20/9/2023 04:37
760,2476,3652,7/3/2023 02:41
,1492,4624,28/12/2023 22:59
762,2165,4888,31/8/2023 12:35
763,2359,3870,22/1/2023 18:58
764,2570,2381,28/10/2023 15:55
765,1706,2754,8/6/2023 10:11
766,2842,4982,30/1/2023 09:40
767,1172,,14/7/2023 16:58
768,2338,1234,15/3/2023 07:06
769,2086,1050,15/3/2023 18:01
770,655,1386,
771,945,3604,26/9/2023 22:21
772,323,1943,28/11/2023 07:06
773,1768,4224,8/10/2023 20:16
774,2637,241,20/12/2023 02:15
775,259,816,24/2/2023 06:44
776,244,1191,21/7/2023 23:14
777,2675,2963,28/4/2023 23:53
778,6,,21/1/2023 21:49
779,14,701,7/4/2023 01:01
780,418,1631,18/8/2023 09:12
781,1865,4487,
782,1166,2824,28/7/2023 04:06
783,2945,,15/7/2023 07:03
784,1082,,7/10/2023 16:43
785,2302,1397,17/8/2023 15:11
786,2608,3694,12/9/2023 14:27
787,920,2887,23/5/2023 17:17
788,2574,4136,9/9/2023 19:21
789,,749,
790,2898,1999,22/2/2023 12:36
791,1617,2737,9/6/2023 18:47
792,1232,3158,14/8/2023 23:22
793,689,1478,21/5/2023 04:45
794,2158,3498,25/6/2023 20:28
795,861,1069,15/6/2023 13:45
796,,1546,23/9/2023 11:34
797,515,3888,3/6/2023 03:47
798,465,3336,24/10/2023 10:02
799,918,1618,10/8/2023 02:48
800,150,1802,22/5/2023 04:13
801,2894,4832,25/12/2023 10:56
802,1267,280,23/11/2023 21:31
803,335,,7/4/2023 23:03
804,235,824,3/2/2023 08:00
805,539,2024,
806,1988,4615,25/5/2023 22:31
,2316,1561,9/3/2023 21:42
808,1821,2118,26/11/2023 03:34
809,889,21,9/12/2023 01:56
