Id_Cancion ,Id_Artista,Id_Genero,NombreCancion,FechaLanzamiento
141,55,8,You Oughta Know,21/11/2016
142,55,1,Head Over Feet,
143,55,6,Hand in My Pocket,1/9/2002
144,55,1,Everything,
145,56,1,Black Velvet,26/2/2016
146,57,11,It Never Rains in Southern California,22/3/2018
147,57,15,Free Electric Band,20/3/2020
148,58,20,Crying At the Discoteque,11/1/2015
149,59,5,Too Close,26/12/2014
150,60,4,Mr Saxobeat,24/10/2016
151,61,6,School's Out,6/12/2020
152,61,17,Poison,27/4/2001
153,61,9,How You Gonna See Me Now,7/1/2019
154,61,13,Only Women Bleed,30/12/2022
155,62,6,I Love the Nightlife,2/6/2000
156,63,14,Fallin',13/1/2007
157,63,19,No One,17/1/2012
158,63,19,You Don't Know My Name,19/7/2021
159,63,1,If I Ain't Got You,14/11/2019
160,63,6,A Woman's Worth,27/1/2022
161,63,3,Karma,7/9/2003
162,64,12,Smooth Criminal,2/1/2001
163,65,9,Moi... Lolita,10/3/2008
164,66,2,Never Ever,22/2/2009
165,66,18,Pure Shores,22/7/2004
166,67,11,I Swear,9/2/2008
167,67,16,I Can Love You Like That,16/12/2003
168,67,9,So Much in Love,12/11/2019
169,68,9,Gives You Hell,9/5/2004
170,69,19,Hello Muddah Hello Faddah,28/6/2004
171,70,,Big in Japan,23/5/2008
172,70,8,Forever Young,29/10/2011
173,70,2,Sounds Like a Melody,30/10/2002
174,71,3,Deep in the Heart of Texas,17/10/2001
175,72,17,My Coo-Ca-Choo,20/9/2013
176,73,4,Horse With No Name,23/6/2005
177,73,8,Sister Golden Hair,17/1/2017
178,74,5,Bend Me Shape Me,26/1/2003
179,75,,Over There,30/7/2015
180,76,6,1 Thing,25/3/2006
181,77,7,Knock On Wood,15/3/2010
182,78,12,Baby Baby,24/1/2016
183,78,20,Every Heartbeat,
184,79,,This is the Life,9/7/2010
185,80,16,Rehab,7/7/2012
186,81,7,I'm Outta Love,8/10/2016
187,81,13,Left Outside Alone,22/2/2022
188,81,20,Sick & Tired,18/1/2019
189,82,19,"More, More, More",11/8/2023
190,83,19,Mishale,30/7/2007
191,84,13,Shadow Dancing,14/6/2011
192,84,15,I Just Wanna Be Your Everything,16/6/2024
193,84,3,Love Is Thicker Than Water,20/2/2007
194,85,20,Rock Me Gently,18/4/2010
195,85,1,"Baby, I Love You",
196,86,10,Butterfly,23/1/2021
197,86,6,Can't Get Used to Losing You,30/9/2004
198,87,3,Japanese Boy,17/6/2024
199,88,1,Obsession,13/10/2016
200,89,15,Giving You The Best That I Got,8/4/2010
201,90,4,Tennessee Waltz,18/1/2011
202,91,16,Ring My Bell,28/6/2001
203,92,1,2 Times,15/3/2009
204,93,2,You Needed Me,27/8/2000
205,94,15,Lay Down Your Arms,3/12/2007
206,94,,The Loveliest Night Of The Year,29/10/2010
207,95,3,No More 'I Love Yous',23/5/2011
208,95,14,Why?,4/10/2012
209,95,2,Walking On Broken Glass,18/7/2014
210,96,17,Third Man Theme,25/5/2012
211,97,20,Rain & Tears,30/8/2011
212,97,16,It's Five O'clock,17/4/2021
213,98,19,Barbie Girl,19/6/2000
214,98,6,Doctor Jones,26/3/2000
215,98,1,Cartoon Heroes,
216,99,1,Election Day,10/4/2003
217,100,20,Tighten Up,
218,101,8,Hernando's Hideaway,20/10/2004
219,102,4,Sugar Sugar,12/7/2001
220,102,12,Jingle Jangle,10/6/2011
221,103,,Brianstorm,4/8/2016
222,104,1,Respect,18/6/2005
223,104,1,Spanish Harlem,25/12/2019
224,104,16,Chain of Fools,5/5/2007
225,104,9,I Say a Little Prayer,20/10/2009
226,104,13,Until You Come Back to Me (That's What I'm Gonna Do),7/1/2016
227,104,19,Think,7/6/2014
228,104,13,Freeway of Love,
229,104,7,(You Make Me Feel Like) a Natural Woman,27/10/2018
230,105,9,I Knew You Were Waiting (For Me),1/8/2008
231,106,2,Hold Your Head Up,18/11/2023
,107,9,Mr Wendal,8/8/2013
233,107,13,Tennessee,13/1/2012
234,107,12,People Everyday,4/3/2014
235,108,1,Bright Eyes,
236,108,12,I Only Have Eyes For You,23/8/2018
237,109,5,Mam'selle,25/4/2008
238,110,4,I'm Looking Over a Four Leaf Clover,1/9/2020
239,111,12,Tea For Two,20/8/2023
240,112,,Sweet Soul Music,
241,113,,Charleston,2/10/2011
242,114,2,Too Fat Polka (I Don't Want Her-You Can Have Her-She's Too Fat For Me),7/2/2011
243,115,,Begin the Beguine,28/2/2014
244,115,11,Frenesi,15/8/2019
245,115,3,Stardust,4/12/2019
246,116,2,Foolish,15/1/2006
247,116,9,Rock Wit U (Awww Baby),30/7/2008
248,117,12,Solid,1/5/2024
249,118,8,Pieces of Me,3/8/2018
250,119,8,Heat of the Moment,6/1/2008
251,120,18,Cherish,26/10/2016
252,120,16,Never My Love,26/1/2022
253,120,14,Windy,13/4/2008
254,121,18,9pm (Till I Come),20/12/2019
255,122,18,Around The World (La La La La La),22/6/2022
256,123,,Always,22/4/2024
257,123,13,Secret Lovers,14/9/2000
258,124,19,Whole Again,
259,124,19,The Tide is High (Get the Feeling),12/10/2015
260,124,19,Eternal Flame,
261,125,18,Obsession,21/1/2006
262,126,18,Pick Up the Pieces,2/6/2005
263,127,5,Wake Me Up,24/3/2011
264,127,11,"Hey, Brother",13/8/2004
265,128,17,Girlfriend,13/7/2020
266,128,9,Complicated,13/2/2012
267,128,7,Sk8er Boi,12/1/2012
268,128,,I'm With You,19/10/2002
269,128,5,My Happy Ending,17/12/2011
270,128,12,Don't Tell Me,18/3/2004
271,128,,When You're Gone,10/2/2010
272,128,13,Nobody's Home,17/9/2013
273,128,4,Losing Grip,25/8/2012
274,128,18,Keep Holding On,24/10/2008
275,129,,Hard to Say I'm Sorry,24/12/2013
276,130,17,Raindrops Keep Falling On My Head,21/4/2012
277,130,11,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,18/12/2018
278,131,1,C'est La Vie,24/6/2016
279,131,14,Rollercoaster,3/2/2016
280,132,9,Bump Bump Bump,
281,133,9,Suga Suga,
282,134,5,Everytime I Close My Eyes,11/8/2016
283,134,9,When Can I See You?,11/12/2007
284,135,2,Spaceman,12/6/2002
285,136,2,"Yes Sir, I Can Boogie",19/4/2001
286,136,15,Sorry I'm a Lady,
287,137,,You Ain't Seen Nothin' Yet,30/12/2018
288,137,4,Hey You,24/3/2004
289,138,12,When I See You Smile,3/1/2008
290,139,,Day After Day,20/11/2004
291,139,16,No Matter What,25/8/2001
292,139,3,Come & Get It,22/10/2011
293,140,11,Who Let the Dogs Out?,30/8/2005
294,141,,Tarzan Boy,23/5/2005
295,142,9,Venus,
296,142,3,Cruel Summer,24/3/2006
297,143,10,Do They Know It's Christmas?,29/3/2005
298,144,20,Do They Know It's Christmas?,13/4/2016
299,145,1,I Know (You Don't Love Me No More),18/4/2013
300,146,1,A Woman in Love,26/11/2015
301,146,1,The Way We Were,12/1/2006
302,146,13,Love Theme From 'A Star is Born' (Evergreen),16/3/2013
303,146,,People,20/10/2012
304,147,15,Guilty,23/9/2011
305,148,7,I Finally Found Someone,30/5/2011
306,149,20,No More Tears (Enough is Enough),28/12/2000
307,150,,You Don't Bring Me Flowers,24/2/2005
308,151,7,One Week,11/4/2003
309,151,11,It's All Been Done,23/3/2012
310,152,11,Mandy,13/1/2008
311,152,10,I Write the Songs,10/6/2023
312,152,20,Copacabana (At the Copa),16/4/2016
313,152,19,Can't Smile Without You,2/10/2013
314,152,8,Ready To Take A Chance,9/10/2014
315,153,19,Eve of Destruction,29/10/2021
316,154,,Eloise,
317,155,16,"You're the First, the Last, My Everything",1/5/2024
318,155,4,"Can't Get Enough of Your Love, Babe",26/2/2015
319,155,3,I'm Gonna Love You Just A Little Bit More,1/11/2020
320,155,7,Never Never Gonna Give Ya Up,16/5/2016
321,156,8,Everybody's Free (To Wear Sunscreen),2/4/2003
322,157,8,The Thrill is Gone,19/9/2002
323,158,16,Dub Be Good to Me,16/12/2001
324,159,18,Loser,17/7/2018
325,160,10,Stayin' Alive,17/5/2019
326,160,20,Night Fever,14/8/2008
327,160,13,(The Lights Went Out In) Massachusetts,27/4/2017
328,160,1,Tragedy,15/1/2021
329,160,,How Deep is Your Love?,27/5/2011
330,160,7,Too Much Heaven,4/3/2006
331,160,2,You Win Again,2/5/2016
332,160,2,You Should Be Dancing,13/7/2006
333,160,5,Jive Talkin',3/8/2016
334,160,7,How Do You Mend a Broken Heart,17/2/2014
335,160,,I Started a Joke,6/3/2001
336,160,13,Words,3/7/2014
337,160,20,I've Gotta Get a Message to You,5/7/2003
338,160,5,Don't Forget to Remember,1/10/2007
339,160,2,Lonely Days,17/7/2000
340,160,11,Alone,
341,160,14,Love You Inside Out,5/5/2020
342,160,10,World,6/5/2018
343,160,19,Run to Me,13/7/2013
344,160,20,Nights On Broadway,10/11/2017
345,160,1,Tomorrow Tomorrow,29/7/2010
346,160,4,First of May,19/12/2006
347,161,12,Heaven is a Place On Earth,2/4/2023
348,161,11,I Get Weak,14/8/2003
349,161,1,Leave a Light On,26/8/2004
350,161,12,Mad About You,11/2/2001
351,162,7,Poison,6/2/2016
352,163,3,Let Your Love Flow,19/6/2006
353,164,10,Samba De Janeiro,24/10/2013
354,165,20,Sweet Georgia Brown,23/4/2019
355,166,20,Stand By Me,2/4/2000
356,166,,Spanish Harlem,5/5/2022
357,167,,Happy Days Are Here Again,20/4/2008
358,167,13,Dardanella,17/1/2006
359,168,4,"Sing, Sing, Sing (With A Swing)",13/10/2022
360,168,,Jersey Bounce,5/2/2007
361,168,2,Taking A Chance On Love,12/11/2000
362,168,14,Goody Goody,
363,168,13,Glory of Love,9/7/2012
364,168,11,Don't Be That Way,3/3/2023
365,168,7,Moon Glow (1934),10/12/2012
366,169,10,Into the Night,30/11/2023
367,170,18,Take My Breath Away,18/2/2015
368,171,3,Wonderland By Night,24/6/2013
369,172,17,Mack the Knife,17/12/2002
370,173,19,Down Hearted Blues,26/5/2014
371,173,15,St Louis Blues,
372,174,7,Wind Beneath My Wings,21/3/2008
373,174,4,From a Distance,20/1/2001
374,174,,The Rose,2/9/2000
375,175,20,"Doctor, Lawyer, Indian Chief",12/7/2003
376,176,2,Crazy in Love,8/4/2018
377,176,4,Irreplaceable,26/10/2019
378,176,5,If I Were a Boy,19/3/2005
379,176,,Single Ladies (Put A Ring On It),4/8/2006
380,176,9,Check On It,17/7/2006
381,176,19,Halo,13/1/2022
382,176,9,Baby Boy,21/4/2000
383,176,11,Sweet Dreams,22/8/2010
384,176,9,Naughty Girl,25/9/2013
385,176,6,Listen,20/11/2007
386,176,7,"Me, Myself & I",27/12/2017
387,177,17,Deja Vu,15/2/2001
388,177,14,Ballad of Bonnie & Clyde,26/10/2021
389,178,18,Beautiful Liar,10/8/2016
390,179,,Chantilly Lace,16/11/2017
391,180,6,Piece of My Heart,5/1/2020
392,181,5,Nu Flow,19/5/2011
393,182,15,"Baby, I Love Your Way",29/6/2016
394,183,11,Gonna Fly Now (Theme From 'Rocky'),24/9/2014
395,184,17,Honky Tonk,
396,185,17,Rock Around the Clock,10/7/2004
397,185,5,"Shake, Rattle & Roll",
398,185,,See You Later Alligator,22/2/2006
399,186,11,Ballad of Davy Crockett,7/9/2014
400,187,14,Raunchy,4/1/2024
401,188,19,(I've Had) the Time of My Life,
402,189,13,Blue Moon of Kentucky,25/10/2008
403,190,1,Lean On Me,5/3/2004
404,190,12,Ain't No Sunshine,1/9/2015
405,191,9,Strange Fruit,7/8/2000
406,191,9,God Bless the Child,27/1/2009
407,191,2,"Lover Man (Oh, Where Can You Be?)",4/1/2011
408,191,12,Summertime,24/5/2009
409,192,18,Kiss the Rain,20/7/2005
410,193,1,The Petite Waltz (La Petite Valse),14/5/2002
411,194,16,My Foolish Heart,26/4/2024
412,194,15,I Apologize,27/8/2007
413,195,11,Cradle of Love,15/2/2019
414,195,3,Eyes Without a Face,18/10/2001
415,195,17,Mony Mony (Live),
416,195,,White Wedding,7/3/2009
417,196,18,Little Children,4/3/2023
418,197,20,The River of Dreams,28/9/2021
419,197,9,Uptown Girl,31/5/2002
420,197,16,Just the Way You Are,6/6/2003
421,197,18,My Life,4/4/2016
422,197,14,We Didn't Start the Fire,18/3/2023
423,197,13,Tell Her About It,12/2/2011
424,197,,It's Still Rock 'n' Roll to Me,23/4/2004
425,197,11,Piano Man,30/6/2016
426,198,12,Yes! We Have No Bananas,15/2/2005
427,199,17,Get Outta My Dreams Get Into My Car,14/10/2013
428,199,2,"When the Going Gets Tough, the Tough Get Going",29/3/2013
429,199,12,Caribbean Queen (No More Love On the Run),10/6/2013
430,199,4,There'll Be Sad Songs (To Make You Cry),24/11/2004
431,199,9,Loverboy,13/2/2004
432,199,9,Love Really Hurts Without You,14/4/2013
433,200,7,Me & Mrs Jones,26/11/2021
434,201,16,Will It Go Round In Circles,19/12/2007
435,201,6,Nothing From Nothing,20/7/2001
436,202,6,With You I'm Born Again,25/7/2002
437,203,8,Achy Breaky Heart,20/5/2000
438,204,6,I Can Help,7/5/2001
439,205,18,Sail Along Silvery Moon,16/1/2014
440,205,13,Melody of Love,24/7/2017
441,205,16,"Wheels (Vier Schimmel, ein Wagen)",1/3/2000
442,205,14,La Paloma,3/1/2010
443,206,14,At This Moment,13/8/2021
444,207,13,Sixty Minute Man,12/12/2001
445,208,11,Hop Scotch Polka,23/9/2004
446,209,14,El Bimbo,18/12/2003
447,210,13,White Christmas,21/7/2023
448,210,6,Swinging On a Star,14/4/2017
449,210,8,Pennies From Heaven,23/6/2013
450,210,10,I'll be seeing you,10/9/2017
451,210,6,"Sunday, Monday or Always",
452,210,12,Now Is the Hour (Maori Farewell Song),3/2/2015
453,210,7,Only Forever,18/6/2014
454,210,17,"Brother, Can You Spare a Dime?",23/12/2008
455,210,8,Sweet Leilani,17/6/2020
456,210,20,Too-Ra-Loo-Ra-Loo-Ra,25/5/2014
457,210,14,I Love You,26/3/2002
458,210,2,Moonlight Becomes You,4/1/2007
459,210,8,"Rudolph, the Red-Nosed Reindeer",16/12/2008
460,210,5,Dolores,
461,210,,Love in Bloom,
462,210,9,San Fernando Valley,16/11/2015
463,210,12,"On the Atchison, Topeka & the Santa Fe",5/1/2018
464,210,3,June in January,12/8/2004
465,210,14,"Silent Night, Holy Night",25/4/2011
466,210,19,Please,12/10/2019
467,210,9,Out of Nowhere,13/12/2023
468,210,1,You Are My Sunshine,6/11/2006
469,210,3,Trade Winds,19/8/2007
470,210,20,Red Sails in the Sunset,23/1/2005
471,210,15,I've Got a Pocketful of Dreams,25/2/2016
472,210,8,You Must Have Been a Beautiful Baby,
473,210,20,The Moon Got in My Eyes,6/11/2017
474,211,2,I Can't Begin to Tell You,20/4/2010
475,212,16,Alexander's ragtime band,
476,213,,True Love,4/9/2021
477,214,12,"It's Been a Long, Long Time",10/8/2003
478,215,4,Don't Fence Me In,5/12/2013
479,215,16,Pistol Packin' Mama,
480,215,15,Ac-cent-tchu-ate the Positive,18/1/2018
481,216,17,Sioux City Sue,18/1/2016
482,217,12,Dinah,9/8/2000
483,218,2,"Oh, What a Beautiful Mornin'",16/7/2008
484,219,20,In a Mist,23/8/2020
485,220,1,Army of Me,18/7/2017
486,221,1,Wonderful Life,22/7/2015
487,222,16,Ride On Time,26/6/2004
488,222,2,Everybody Everybody,26/5/2016
489,222,5,I Don't Know Anybody Else,15/9/2000
490,223,8,Paranoid,3/2/2008
491,224,13,No Diggity,16/1/2017
492,225,17,Take Me There,31/12/2003
493,226,,I Believe,
494,227,8,Matchbox Blues,14/6/2008
495,228,9,No Rain,1/8/2008
496,229,17,"Dark Was the Night, Cold Was the Ground",30/10/2016
497,230,,All the Small Things,17/2/2020
498,231,20,Heart of Glass,13/2/2016
499,231,3,Call Me,30/10/2006
500,231,14,The Tide is High,8/10/2021
501,231,1,Rapture,
502,231,5,Maria,
503,231,12,Atomic,11/5/2005
504,231,17,Denis,11/5/2017
505,231,10,Sunday Girl,14/10/2016
506,231,6,Dreaming,15/5/2000
507,232,13,Spinning Wheel,4/1/2005
508,232,19,You've Made Me So Very Happy,22/6/2023
509,232,4,And When I Die,10/6/2005
510,233,14,The Bad Touch,27/6/2007
511,234,,Breathe,13/2/2022
512,234,11,Hit 'Em Up Style (Oops!),29/4/2019
513,235,18,Sorry Seems to Be the Hardest Word,4/11/2006
514,236,,Cruising Down the River,
515,237,,Summertime Blues,17/4/2016
516,238,16,Ramona,26/5/2009
517,239,15,Sideshow,26/3/2013
518,240,,Hooked On a Feeling,30/4/2000
519,241,2,Run Around,11/1/2014
520,242,1,Country House,5/3/2015
521,242,,Song 2,22/3/2006
522,242,16,Tender,1/7/2013
523,242,6,Beetlebum,4/7/2008
,242,9,Girls & Boys,
525,242,15,The Universal,28/5/2013
526,243,17,Bo Diddley,21/3/2019
527,244,18,"Billy, Don't Be a Hero",22/12/2016
528,245,15,Nothin' on You,1/7/2020
529,246,8,Airplanes,4/5/2007
530,247,10,Mustapha,22/4/2000
531,248,9,Whispers in The Dark,4/10/2014
532,249,12,Like a Rolling Stone,21/7/2004
533,249,10,Blowin' in the Wind,
534,249,17,Knockin' On Heaven's Door,
535,249,11,Positively Fourth Street,
536,249,15,Lay Lady Lay,21/7/2016
537,249,3,Hurricane,17/1/2000
538,249,10,Rainy Day Woman Nos 12 & 35,30/7/2013
539,250,13,Thanks For the Memory,24/1/2011
540,251,20,Let's Think About Living,28/5/2015
541,252,17,"No Woman, No Cry",3/12/2001
542,252,16,Could You Be Loved,12/5/2005
543,253,7,Mexico,25/3/2000
544,254,19,Shake Down,1/10/2016
545,254,12,Against the Wind,16/4/2015
546,254,13,Still the Same,15/5/2018
547,255,17,Love Generation,3/9/2012
548,256,,New San Antonio Rose,30/3/2014
549,257,20,Ode To Billie Joe,29/6/2016
550,258,15,Montego Bay,6/6/2016
551,259,3,The Monster Mash,4/7/2019
552,260,17,Humpin' Around,6/2/2010
553,260,19,My Perogative,5/12/2018
554,260,9,On Our Own (Theme from 'Ghostbusters II'),27/4/2004
555,260,7,Good Enough,31/3/2022
556,260,9,Every Little Step,2/5/2012
557,260,6,Don't Be Cruel,7/10/2021
558,261,14,Mack the Knife,24/8/2002
559,261,8,Dream Lover,2/10/2014
560,261,19,Multiplication,28/9/2014
561,261,,Beyond The Sea (La Mer),26/2/2005
562,262,2,Rockin' Robin,14/7/2010
563,263,,Do You Want to Dance?,4/7/2000
564,264,14,I Fought the Law,
565,265,17,Honey,27/9/2018
566,266,2,Sunny,5/12/2004
567,267,3,My Special Angel,5/5/2015
568,268,14,Tossing & Turning,25/7/2010
569,269,20,Don't Worry Be Happy,9/9/2006
570,270,3,The Wild One,18/6/2019
571,270,3,Swingin' School,18/3/2022
572,270,7,Volare,20/3/2018
573,271,16,Little Woman,28/10/2023
574,272,1,Take Good Care of My Baby,29/4/2008
575,273,20,Roses Are Red,29/5/2016
576,273,3,Blue Velvet,
577,273,13,Mr Lonely,4/2/2009
578,273,,There! I've Said it Again,11/3/2023
579,273,13,My Melody Of Love,2/11/2015
580,274,20,Freestyler,26/11/2008
581,275,15,Always,4/8/2003
582,275,7,Blaze of Glory,18/11/2002
583,275,16,Livin' On a Prayer,18/7/2009
584,275,2,It's My Life,1/10/2007
585,275,11,This Ain't a Love Song,5/1/2015
586,275,20,Bed of Roses,8/6/2003
587,275,14,Bad Medicine,28/5/2007
588,275,17,Have a Nice Day,30/4/2016
589,275,19,I'll Be There For You,25/7/2004
590,275,12,Keep the Faith,27/7/2015
591,275,6,Born to Be My Baby,1/6/2016
592,275,11,You Give Love a Bad Name,1/11/2017
593,275,10,Everyday,24/4/2023
594,275,10,Midnight in Chelsea,24/5/2019
595,275,8,In These Arms,12/6/2017
596,275,17,(You Want To) make A Memory,26/2/2016
597,276,14,Tha Crossroads,21/4/2019
598,277,20,Rivers of Babylon,16/6/2001
599,277,5,Ma Baker,28/12/2009
600,277,8,Daddy Cool,16/7/2022
601,277,12,Mary's Boy Child/Oh My Lord,5/10/2003
602,277,7,Rasputin,18/9/2023
603,277,20,Sunny,15/11/2006
604,277,16,Belfast,1/2/2002
605,277,18,Brown Girl in the Ring,28/7/2020
606,277,17,Hooray Hooray It's a Holi-Holiday,27/1/2001
607,277,8,El Lute,10/9/2007
608,278,12,Love Sneakin' Up On You,
609,279,10,Total Eclipse of the Heart,3/9/2007
610,279,,It's a Heartache,24/5/2001
611,280,,Green Onions,2/9/2009
612,280,12,Time is Tight,2/12/2018
613,281,11,I Want to Wake Up With You,15/4/2023
614,282,4,More Than a Feeling,31/7/2000
615,282,1,Amanda,7/8/2016
616,282,10,Don't Look Back,21/11/2007
617,283,4,1985,7/3/2013
618,284,17,Everything I Own,28/3/2023
619,284,12,The Crying Game,8/10/2021
620,285,20,Waiting For a Star to Fall,19/2/2005
621,286,,Can't Take My Eyes Off You,
622,287,8,End of the Road,25/8/2016
623,287,,I'll Make Love to You,
624,287,18,On Bended Knee,12/6/2020
625,287,9,In The Still Of The Nite (I'll Remember),31/7/2018
626,287,19,4 Seasons of Loneliness,13/10/2009
627,287,10,Water Runs Dry,10/2/2020
628,287,20,Motown Philly,24/3/2002
629,287,10,It's So Hard to Say Goodbye to Yesterday,12/3/2004
630,288,18,No Matter What,20/1/2013
631,288,10,Words,28/6/2015
632,289,16,Lowdown,26/2/2017
633,290,15,Have You Ever?,10/11/2001
634,290,12,What About Us,3/6/2010
635,290,10,Sittin' Up In My Room,
636,291,8,The Boy is Mine,
637,292,3,Make it With You,24/11/2021
638,292,16,Baby I'm a Want You,17/1/2011
639,292,1,Everything I Own,27/2/2024
640,292,11,Lost Without Your Love,11/8/2008
641,292,16,If,10/11/2013
642,292,13,Guitar Man,12/11/2010
643,293,,Hands to Heaven,24/5/2002
644,293,3,How Can I Fall,17/11/2011
,294,19,I'm Sorry,26/5/2020
646,294,12,All Alone am I,18/5/2020
